"Date Time","Temp","SpCond","Sal","Depth","pH","pH","Turbid+","Chl","Chl","ODOsat","ODO","Battery"
"M/D/Y HH:MM:SS","C","uS","ppt","meters","","mV","NTU","ug/L","RFU","%","mg/L","volts"
"06/22/21 16:01:09",16.37,1064,0.53,0.468,12.11,-316.0,-0.4,0.32,0.05,111.5,10.88,10.4
"06/22/21 16:06:09",16.04,992,0.49,0.469,12.11,-315.7,0.3,-0.30,-0.05,111.8,10.99,10.4
"06/22/21 16:11:09",16.02,938,0.47,0.468,12.11,-315.4,-0.8,-0.97,-0.17,111.7,10.99,10.5
"06/22/21 16:16:09",15.70,903,0.45,0.468,12.11,-315.2,-0.5,-0.75,-0.13,111.9,11.09,10.5
"06/22/21 16:21:09",15.23,50453,33.10,0.455,12.10,-314.2,16.7,13.45,2.32,113.1,9.27,10.5
"06/22/21 16:26:09",15.18,50446,33.09,0.497,12.09,-314.0,11.7,11.49,1.98,114.1,9.36,10.5
"06/22/21 16:31:09",15.16,50418,33.07,0.497,12.09,-313.8,8.5,11.05,1.91,114.8,9.42,10.4
"06/22/21 16:36:10",15.14,50424,33.08,0.497,12.09,-313.8,6.9,10.15,1.75,113.5,9.32,10.5
"06/22/21 16:41:09",15.12,50420,33.07,0.497,12.09,-313.8,6.2,10.27,1.77,113.6,9.33,10.5
"06/22/21 16:46:09",15.12,50410,33.07,0.497,12.09,-313.8,4.7,9.12,1.57,113.9,9.35,10.5
"06/22/21 16:51:09",15.13,50403,33.06,0.496,12.09,-313.8,4.1,9.54,1.64,114.2,9.38,10.4
"06/22/21 16:56:09",15.13,50391,33.05,0.495,12.09,-313.8,3.9,9.38,1.62,114.0,9.36,10.5
"06/22/21 17:01:09",15.14,50380,33.04,0.494,12.09,-313.8,3.6,10.25,1.77,113.4,9.31,10.5
"06/22/21 17:06:09",15.14,50376,33.04,0.495,12.09,-313.8,3.7,10.11,1.75,113.0,9.28,10.5
"06/22/21 17:11:09",15.16,50365,33.03,0.496,12.09,-313.8,3.7,10.43,1.80,114.1,9.36,10.5
"06/22/21 17:16:09",15.16,50374,33.04,0.497,12.09,-313.8,3.4,8.36,1.44,113.8,9.34,10.4
"06/22/21 17:21:09",15.15,50382,33.05,0.496,12.09,-313.7,3.4,8.12,1.40,113.9,9.35,10.4
"06/22/21 17:26:09",15.15,50376,33.04,0.496,12.09,-313.7,3.1,8.05,1.39,113.6,9.33,10.4
"06/22/21 17:31:09",15.16,50380,33.04,0.496,12.09,-313.6,3.1,8.80,1.52,113.9,9.35,10.5
"06/22/21 17:36:09",15.17,50369,33.04,0.496,12.09,-313.6,3.0,7.52,1.30,113.1,9.28,10.5
"06/22/21 17:41:09",15.18,50375,33.04,0.495,12.09,-313.6,3.1,8.55,1.48,113.3,9.30,10.5
"06/22/21 17:46:10",15.19,50373,33.04,0.496,12.09,-313.6,3.1,8.20,1.41,113.9,9.34,10.5
"06/22/21 17:51:10",15.19,50379,33.04,0.496,12.09,-313.5,3.4,8.82,1.52,113.9,9.34,10.4
"06/22/21 17:56:09",15.19,50395,33.06,0.497,12.09,-313.5,3.6,7.97,1.38,113.3,9.29,10.3
"06/22/21 18:01:09",15.19,50379,33.04,0.497,12.09,-313.5,3.6,8.37,1.45,113.2,9.28,10.5
"06/22/21 18:06:10",15.19,50386,33.05,0.492,12.09,-313.4,3.2,6.67,1.15,112.6,9.24,10.4
"06/22/21 18:11:09",15.19,50377,33.04,0.493,12.09,-313.4,2.9,6.31,1.09,110.4,9.06,10.5
"06/22/21 18:16:09",15.20,50397,33.06,0.494,12.08,-313.4,3.1,6.40,1.10,109.4,8.97,10.5
"06/22/21 18:21:10",15.21,50396,33.06,0.495,12.08,-313.3,3.1,7.29,1.26,109.5,8.98,10.5
"06/22/21 18:26:10",15.21,50393,33.06,0.494,12.08,-313.2,3.2,7.27,1.25,109.3,8.96,10.5
"06/22/21 18:31:09",15.22,50387,33.05,0.495,12.08,-313.2,3.0,7.50,1.30,108.6,8.90,10.5
"06/22/21 18:36:10",15.23,50393,33.06,0.495,12.08,-313.2,2.8,7.28,1.25,108.6,8.90,10.5
"06/22/21 18:41:10",15.24,50392,33.06,0.496,12.08,-313.2,3.1,8.30,1.43,108.1,8.86,10.5
"06/22/21 18:46:10",15.25,50397,33.06,0.496,12.08,-313.1,2.6,7.46,1.29,107.9,8.84,10.5
"06/22/21 18:51:09",15.25,50408,33.07,0.498,12.08,-313.1,2.7,7.93,1.37,107.6,8.82,10.5
"06/22/21 18:56:10",15.27,50406,33.07,0.498,12.08,-313.0,3.2,7.92,1.37,107.2,8.78,10.4
