Tue Apr 19 16:13:38 2022    profile_results

         751191 function calls (726689 primitive calls) in 10.073 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2173    0.001    0.000    0.002    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/core/internals/managers.py:1667(internal_values)
      243    0.000    0.000    0.002    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:5549(_colocate_with_for_gradient)
      883    0.001    0.000    0.002    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/context.py:249(push)
      247    0.001    0.000    0.002    0.000 /u/pdaniel/anaconda3/lib/python3.8/tokenize.py:429(_tokenize)
        1    0.000    0.000    0.002    0.002 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/call_trees.py:207(transform)
        2    0.000    0.000    0.002    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/static_analysis/reaching_definitions.py:185(visit_FunctionDef)
        4    0.000    0.000    0.002    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/auto_control_deps.py:210(mark_as_return)
        1    0.000    0.000    0.002    0.002 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/parser.py:365(unparse)
     4334    0.001    0.000    0.002    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/core/common.py:342(apply_if_callable)
      750    0.001    0.000    0.002    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:4924(_control_dependencies_for_inputs)
      328    0.001    0.000    0.002    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:1226(as_proto)
      750    0.001    0.000    0.002    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:5383(_snapshot_colocation_stack_metadata)
       82    0.000    0.000    0.002    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function_cache.py:95(__hash__)
       24    0.000    0.000    0.002    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:2648(canonicalize_function_inputs)
      277    0.000    0.000    0.002    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/object_identity.py:199(add)
      750    0.001    0.000    0.002    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:4958(_record_op_seen_by_control_dependencies)
  147/143    0.000    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      947    0.001    0.000    0.001    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationOutputType}
        5    0.000    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pyifcb-0.0.1-py3.8.egg/ifcb/data/identifiers.py:85(c)
      750    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/context.py:1354(op_callbacks)
       11    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/templates.py:271(<listcomp>)
       22    0.000    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/sre_parse.py:937(parse)
       34    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/tensor_util.py:565(MakeNdarray)
      722    0.001    0.000    0.001    0.000 {built-in method PIL._imaging.map_buffer}
   152/82    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function_trace_type.py:210(__hash__)
       26    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function_cache.py:250(make_cache_key)
      682    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/dtypes.py:188(__ne__)
      750    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/lock_util.py:73(group)
     3784    0.001    0.000    0.001    0.000 {method 'HasField' of 'google.protobuf.pyext._message.CMessage' objects}
      266    0.000    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/ast.py:383(visit_Constant)
      147    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/base_layer.py:3380(_convert_numpy_or_python_types)
     2931    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:4383(_name_stack)
   238/16    0.000    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/ast.py:373(generic_visit)
        4    0.000    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pyifcb-0.0.1-py3.8.egg/ifcb/data/identifiers.py:96(m)
      476    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/auto_control_deps.py:436(<genexpr>)
      470    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/op_def_library.py:187(_MakeType)
      426    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/func_graph.py:1230(device_stack_has_callable)
    10113    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     1444    0.001    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/PIL/Image.py:2644(_check_size)
       26    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:2058(<listcomp>)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/variables.py:96(transform)
    47/22    0.000    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/sre_parse.py:435(_parse_sub)
     1522    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/object_identity.py:181(__init__)
      135    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/keras/utils/traceback_utils.py:74(inject_argument_info_in_traceback)
     2170    0.001    0.000    0.001    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
       48    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:2779(_convert_numpy_inputs)
        4    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/templates.py:275(replace_as_expression)
      686    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/op_def_library.py:553(<listcomp>)
      748    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/auto_control_deps.py:159(collective_manager_ids_from_op)
        1    0.001    0.001    0.001    0.001 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
       23    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/nest.py:1351(map_structure_up_to)
      135    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/base_layer.py:2488(_name_scope)
      686    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:4127(_get_operation_by_tf_operation)
        2    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/deprecation.py:514(new_func)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/gast/ast3.py:440(gast_to_ast)
      956    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:217(uid)
      134    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/qual_names.py:224(visit_Name)
       13    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/dataset_ops.py:220(__init__)
    52/22    0.001    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/sre_parse.py:493(_parse)
      426    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/op_def_library.py:106(<listcomp>)
       44    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function_cache.py:98(__eq__)
     1130    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/c_api_util.py:171(tf_buffer)
       23    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/nest.py:1432(map_structure_with_tuple_paths_up_to)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/data_adapter.py:357(grab_batch)
     5941    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      430    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:4190(as_default)
      158    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/type_spec.py:393(__get_cmp_key)
      240    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:4878(__enter__)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/data_adapter.py:358(<lambda>)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/call_trees.py:104(visit_FunctionDef)
        5    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/static_analysis/activity.py:646(visit_withitem)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:5230(gather_v2)
      540    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/gast/gast.py:15(create_node)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:879(assign_add)
      750    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:5343(_snapshot_device_function_stack_metadata)
      134    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/base_layer.py:2432(_maybe_cast_inputs)
       90    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/base_layer.py:2556(_set_mask_metadata)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/core/internals/construction.py:98(arrays_to_mgr)
      578    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/tf_decorator.py:229(__init__)
      511    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/errors_impl.py:273(__init__)
      239    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:907(consumers)
      240    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:4888(__exit__)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/call_trees.py:122(visit_With)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/iterator_ops.py:834(__next__)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/iterator_ops.py:799(_next_internal)
       70    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/iterator_ops.py:692(__hash__)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/continue_statements.py:159(transform)
    88/44    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function_trace_type.py:201(__eq__)
     1177    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/traceable_stack.py:109(peek_objs)
    132/2    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/origin_info.py:216(visit)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/impl/api.py:222(initial_analysis)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/static_analysis/liveness.py:202(resolve)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/break_statements.py:179(transform)
     83/1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/static_analysis/liveness.py:117(visit)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/static_analysis/liveness.py:141(visit_FunctionDef)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/static_analysis/liveness.py:127(_analyze_function)
        2    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/gen_math_ops.py:5986(mat_mul)
      686    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/control_flow_util.py:262(CheckInputFromValidContext)
     1164    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/anno.py:152(copyanno)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:5014(gather)
      2/1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/return_statements.py:273(_visit_statement_block)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/gen_array_ops.py:3885(gather_v2)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/static_analysis/reaching_fndefs.py:166(resolve)
     83/1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/static_analysis/reaching_fndefs.py:149(visit)
       34    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:1049(with_rank)
      407    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:771(<listcomp>)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/static_analysis/reaching_fndefs.py:143(visit_FunctionDef)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/static_analysis/reaching_fndefs.py:124(_proces_function)
     6304    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       70    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/type_spec.py:349(__hash__)
        2    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/gen_nn_ops.py:646(bias_add)
      722    0.001    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/PIL/Image.py:269(_conv_type_shape)
      757    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/six.py:588(iteritems)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/return_statements.py:315(visit_With)
     2192    0.001    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/inference.py:321(is_hashable)
        4    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/cfg.py:214(_visit_internal)
  316/158    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/type_spec.py:398(__make_cmp_key)
      453    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/context.py:2238(eager_mode)
        2    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/dataset_ops.py:676(from_tensors)
        2    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/dataset_ops.py:4453(__init__)
       79    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/tensor_util.py:306(_AssertCompatible)
     2174    0.001    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/core/common.py:151(cast_scalar_indexer)
      102    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
     1482    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      134    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/node.py:156(map_arguments)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/keras/layers/pooling.py:1130(call)
     3380    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/keras/backend.py:2648(mean)
     1555    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:5418(_distribution_strategy_stack)
      860    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:5644(get_controller)
      752    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:2445(_add_control_inputs)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/math_ops.py:2584(reduce_mean)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/gen_dataset_ops.py:2902(iterator_get_next)
      240    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/func_graph.py:421(control_dependencies)
      8/7    0.000    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/core/series.py:315(__init__)
     1741    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:5368(_colocation_stack)
       23    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:2196(_build_call_outputs)
        3    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/call_trees.py:156(visit_Call)
     2863    0.001    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/enum.py:730(__hash__)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/gen_math_ops.py:6245(mean)
    93/53    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/nest.py:609(_packed_nest_with_indices)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/readers.py:772(__init__)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/dataset_ops.py:1230(concatenate)
       67    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/gast/ast3.py:173(visit_Name)
       22    0.000    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/sre_compile.py:598(_code)
     2251    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
      512    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/auto_control_deps_utils.py:108(<genexpr>)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/dataset_ops.py:4645(__init__)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:58(reshape)
      750    0.001    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/_collections_abc.py:676(items)
     2170    0.001    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/base.py:2130(is_floating)
     6811    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/context.py:2057(context_safe)
      426    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:6358(_get_graph_from_inputs)
       74    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/tensor_util.py:260(inner)
       12    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/options.py:619(merge)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pyifcb-0.0.1-py3.8.egg/ifcb/data/identifiers.py:13(timestamp2regex)
       34    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(prod)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/dataset_ops.py:715(from_tensor_slices)
     4211    0.001    0.000    0.001    0.000 {method 'update' of 'set' objects}
      188    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/distribute/distribution_strategy_context.py:269(get_strategy_and_replica_context)
      524    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/anno.py:134(setanno)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/gen_array_ops.py:8457(reshape)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/dataset_ops.py:4475(__init__)
      241    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/distribute/distribution_strategy_context.py:76(_get_per_thread_mode)
       35    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:938(merge_with)
      582    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:1193(dtype)
     1740    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/traceable_stack.py:117(__len__)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/keras/callbacks.py:186(__init__)
       34    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/qual_names.py:229(visit_Attribute)
       12    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/util/options.py:115(merge_options)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/data_adapter.py:979(select_data_adapter)
      135    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/base_layer.py:3371(_in_functional_construction_mode)
       22    0.000    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/re.py:203(sub)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/readers.py:1029(_make_engine)
     1444    0.001    0.000    0.001    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/PIL/Image.py:537(__getattr__)
        1    0.001    0.001    0.001    0.001 {method 'writerows' of '_csv.writer' objects}
     1776    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/op_def_library.py:99(_IsListValue)
      135    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/base_layer_utils.py:523(__enter__)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/c_parser_wrapper.py:33(__init__)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/data_adapter.py:981(<listcomp>)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/conditional_expressions.py:44(transform)
      430    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/context.py:2232(graph_mode)
      240    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/execute.py:182(make_type)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/core/internals/managers.py:1753(create_block_manager_from_arrays)
        3    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/cfg.py:238(visit_forward)
       18    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/variables.py:51(visit_Name)
      723    0.001    0.000    0.001    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/control_flow.py:47(visit_FunctionDef)
      266    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:313(_maybe_set_handle_data)
       70    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:675(get_shape)
     1206    0.001    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:531(graph)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/logical_expressions.py:131(transform)
      116    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      956    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_UID}
     1174    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/op_def_registry.py:32(get)
        2    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/gen_control_flow_ops.py:464(no_op)
    10164    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
        7    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/dataset_ops.py:4197(__init__)
      239    0.000    0.000    0.001    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/object_identity.py:229(_wrap_key)
        1    0.000    0.000    0.001    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/loader.py:45(load_source)
